walk_index,terminal_position,scaled_terminal
1178,-24,-0.758947
1179,-44,-1.3914
1180,42,1.32816
1181,-38,-1.20167
1182,28,0.885438
1183,6,0.189737
1184,24,0.758947
1185,-52,-1.64438
1186,-18,-0.56921
1187,6,0.189737
1188,0,0
1189,4,0.126491
1190,-18,-0.56921
1191,20,0.632456
1192,-30,-0.948683
1193,10,0.316228
1194,2,0.0632456
1195,-28,-0.885438
1196,-10,-0.316228
1197,6,0.189737
1198,22,0.695701
1199,4,0.126491
1200,-4,-0.126491
1201,-28,-0.885438
1202,-54,-1.70763
1203,-8,-0.252982
1204,-24,-0.758947
1205,2,0.0632456
1206,-36,-1.13842
1207,14,0.442719
1208,46,1.45465
1209,-20,-0.632456
1210,-56,-1.77088
1211,-10,-0.316228
1212,-12,-0.379473
1213,-22,-0.695701
1214,-10,-0.316228
1215,4,0.126491
1216,50,1.58114
1217,-40,-1.26491
1218,16,0.505964
1219,-46,-1.45465
1220,-10,-0.316228
1221,-56,-1.77088
1222,-18,-0.56921
1223,12,0.379473
1224,0,0
1225,38,1.20167
1226,-2,-0.0632456
1227,-28,-0.885438
1228,36,1.13842
1229,46,1.45465
1230,2,0.0632456
1231,18,0.56921
1232,-48,-1.51789
1233,-12,-0.379473
1234,36,1.13842
1235,-66,-2.0871
1236,-30,-0.948683
1237,4,0.126491
1238,-26,-0.822192
1239,-26,-0.822192
1240,20,0.632456
1241,-6,-0.189737
1242,2,0.0632456
1243,30,0.948683
1244,18,0.56921
1245,34,1.07517
1246,-2,-0.0632456
1247,2,0.0632456
1248,12,0.379473
1249,12,0.379473
1250,-26,-0.822192
1251,34,1.07517
1252,-14,-0.442719
1253,-2,-0.0632456
1254,38,1.20167
1255,-12,-0.379473
1256,-28,-0.885438
1257,10,0.316228
1258,24,0.758947
1259,-12,-0.379473
1260,-76,-2.40333
1261,-6,-0.189737
1262,36,1.13842
1263,-48,-1.51789
1264,18,0.56921
1265,42,1.32816
1266,-18,-0.56921
1267,14,0.442719
1268,-60,-1.89737
1269,-2,-0.0632456
1270,10,0.316228
1271,32,1.01193
1272,0,0
1273,-6,-0.189737
1274,38,1.20167
1275,26,0.822192
1276,26,0.822192
1277,-28,-0.885438
1278,-20,-0.632456
1279,8,0.252982
1280,-18,-0.56921
1281,-16,-0.505964
1282,12,0.379473
1283,30,0.948683
1284,-18,-0.56921
1285,-2,-0.0632456
1286,-58,-1.83412
1287,28,0.885438
1288,24,0.758947
1289,-18,-0.56921
1290,-12,-0.379473
1291,60,1.89737
1292,14,0.442719
1293,22,0.695701
1294,2,0.0632456
1295,18,0.56921
1296,-56,-1.77088
1297,-2,-0.0632456
1298,20,0.632456
1299,4,0.126491
1300,40,1.26491
1301,12,0.379473
1302,12,0.379473
1303,22,0.695701
1304,18,0.56921
1305,46,1.45465
1306,14,0.442719
1307,-18,-0.56921
1308,26,0.822192
1309,-16,-0.505964
1310,-30,-0.948683
1311,18,0.56921
1312,-32,-1.01193
1313,-56,-1.77088
1314,2,0.0632456
1315,-34,-1.07517
1316,-4,-0.126491
1317,-16,-0.505964
1318,-76,-2.40333
1319,-6,-0.189737
1320,50,1.58114
1321,88,2.7828
1322,6,0.189737
1323,2,0.0632456
1324,0,0
1325,32,1.01193
1326,26,0.822192
1327,28,0.885438
1328,8,0.252982
1329,-24,-0.758947
1330,34,1.07517
1331,2,0.0632456
1332,-36,-1.13842
1333,-6,-0.189737
1334,6,0.189737
1335,42,1.32816
1336,14,0.442719
1337,-58,-1.83412
1338,4,0.126491
1339,2,0.0632456
1340,18,0.56921
1341,-20,-0.632456
1342,52,1.64438
1343,-16,-0.505964
1344,22,0.695701
1345,-8,-0.252982
1346,68,2.15035
1347,-10,-0.316228
1348,-32,-1.01193
1349,10,0.316228
1350,-18,-0.56921
1351,10,0.316228
1352,-4,-0.126491
1353,96,3.03579
1354,-26,-0.822192
1355,14,0.442719
1356,-6,-0.189737
1357,-54,-1.70763
1358,26,0.822192
1359,10,0.316228
1360,28,0.885438
1361,-22,-0.695701
1362,-2,-0.0632456
1363,-12,-0.379473
1364,122,3.85798
1365,-38,-1.20167
1366,0,0
1367,-4,-0.126491
